id,name,created_at,updated_at,intro,page,opt,shows
3019,УПРАВЛЕНИЕ СИСТЕМОЙ ОТОПЛЕНИЯ/КОНДИЦИОНИРОВАНИЯ,2014-02-15 00:26:12.11187,2014-02-15 00:26:12.11187,,,,
3020,БАЧОК ОМЫВАТЕЛЯ ЗАДНЕГО СТЕКЛА,2014-02-15 00:26:12.113703,2015-01-19 15:47:09.976146,"","",,302
3021,МОТОР ОЧИСТИТЕЛЯ ЗАДНЕГО СТЕКЛА,2014-02-15 00:26:12.115571,2015-01-19 15:47:09.967513,,,,14
3022,НАСОС ОМЫВАТЕЛЯ ЗАДНЕГО СТЕКЛА,2014-02-15 00:26:12.117463,2015-01-19 15:47:09.951386,"","",,97
3023,ПОВОДОК ОЧИСТИТЕЛЯ ЗАДНЕГО СТЕКЛА,2014-02-15 00:26:12.119283,2015-01-19 15:47:09.943142,,,,5
3024,ФОРСУНКА ОМЫВАТЕЛЯ ЗАДНЕГО СТЕКЛА,2014-02-15 00:26:12.121057,2015-01-19 15:47:09.926051,"","",,475
3025,ЩЁТКИ ОЧИСТИТЕЛЯ ЗАДНЕГО СТЕКЛА,2014-02-15 00:26:12.122793,2015-01-19 15:47:09.881821,,,,33
3026,БАЧОК ОМЫВАТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.124669,2015-01-19 15:47:08.734121,"<p>Бачок омывателя лобового стекла служит резервуаром хранения омывающей жидкости.</p>
","<p>Бачок омывателя лобового стекла служит резервуаром хранения омывающей жидкости.<br />
В качестве омывающих жидкостей обычно служат водно-спиртовые растворы с добавками моющих поверхностно-активных веществ, красителей и аромотизаторов. В бачок, как правило, интегрирован погружной электронасос центробежного типа, для подачи омывающей жидкости в систему стеклоомывателя. Также может дополнительно устанавливаться насос омывателя фар, а на автомобилях с кузовом универсал и хэтчбек &ndash; омывателя заднего стекла (если для них не предусмотрен отдельный бачок).<br />
Современные бачки омывателя лобового стекла изготавливаются из пластика. Стандартный объем 2,5-4 литра. В случае подключения к бачку омывателя фар, емкость увеличивается.&nbsp;<br />
Часто в бачок бывает интегрирован датчик уровня омывающей жидкости. При падении уровня, бортовой компьютер автомобиля выдает сигнал о необходимости пополнения.<br />
В современных автомобилях подкапотное пространство сильно ограниченно, и поэтому бачки омывателя лобового стекла для каждой модели проектируются индивидуально, в зависимости от конфигурации силового агрегата, навесного оборудования и прочих особенностей данного автомобиля.</p>
",,299
3027,ДАТЧИК УРОВНЯ ОМЫВАЮЩЕЙ ЖИДКОСТИ,2014-02-15 00:26:12.126486,2015-01-19 15:47:08.724604,,,,299
3028,МОТОР ОЧИСТИТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.128312,2015-01-19 15:47:08.700551,,,,10
3029,НАСОС ОМЫВАТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.140752,2015-01-19 15:47:08.66684,,,,741
3030,ПОВОДОК ОЧИСТИТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.142637,2015-01-19 15:47:08.375772,,,,0
3031,ТРАПЕЦИЯ/ТЯГИ СТЕКЛООЧИСТИТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.144601,2014-02-15 00:26:12.144601,,,,
3032,ФОРСУНКА ОМЫВАТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.146429,2015-01-19 15:47:08.116285,"","",,8369
3033,ЩЁТКИ ОЧИСТИТЕЛЯ ЛОБОВОГО СТЕКЛА,2014-02-15 00:26:12.148293,2015-01-19 15:47:07.600264,,,,44
3034,БАЧОК ОМЫВАТЕЛЯ ФАР,2014-02-15 00:26:12.150051,2015-01-19 15:47:07.584055,"","",,214
3035,МОТОР/ПРИВОД ОМЫВАТЕЛЯ ФАР,2014-02-15 00:26:12.151821,2014-02-15 00:26:12.151821,,,,
3036,НАСОС ОМЫВАТЕЛЯ ФАР,2014-02-15 00:26:12.154149,2015-01-19 15:47:07.55561,,,,589
3037,ФОРСУНКА ОМЫВАТЕЛЯ ФАР,2014-02-15 00:26:12.156481,2015-01-19 15:47:07.072899,,,,4106
3038,АНТЕННА И ЕЁ ДЕТАЛИ,2014-02-15 00:26:12.158392,2015-01-19 15:47:06.308326,,,,31
3039,ШТАТНАЯ МАГНИТОЛА,2014-02-15 00:26:12.160322,2015-01-19 15:47:06.299851,,,,45839
3040,ШТАТНЫЙ ДИНАМИК,2014-02-15 00:26:12.162179,2015-01-19 15:47:06.291556,,,,1486
3041,ШТАТНЫЙ УСИЛИТЕЛЬ,2014-02-15 00:26:12.164061,2015-01-19 15:47:06.282702,,,,1349
3042,АМОРТИЗАТОР ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.165886,2015-01-19 15:47:06.266536,"","",,376
3043,БОЛТ-ЭКСЦЕНТРИК РЕГУЛИРОВКИ РАЗВАЛА ЗАДНИХ КОЛЁС,2014-02-15 00:26:12.16774,2014-02-15 00:26:12.16774,,,,
3044,БОЛТ/ГАЙКА/ШАЙБА ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.169666,2014-12-07 21:29:26.750615,"","",,
3045,ВТУЛКА СТАБИЛИЗАТОРА ЗАДНЕГО,2014-02-15 00:26:12.171498,2015-01-19 15:47:06.258211,"","",,990
3046,КУЛАК ПОВОРОТНЫЙ ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.173316,2015-01-19 15:47:06.249651,,,,9
3047,ПОДУШКА ПРУЖИНЫ ЗАДНЕЙ,2014-02-15 00:26:12.17511,2015-01-19 15:47:06.233171,,,,60
3048,ПРУЖИНА/РЕССОРА ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.177123,2014-02-15 00:26:12.177123,,,,
3049,ПЫЛЬНИК/ОТБОЙНИК/ВТУЛКА ЗАДНЕГО АМОРТИЗАТОРА,2014-02-15 00:26:12.179132,2015-01-03 06:12:43.517945,"","",,
3050,РЫЧАГ ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.180946,2015-01-19 15:47:06.224873,,,,2047
3051,САЙЛЕНТБЛОКИ ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.182824,2015-01-19 15:47:06.216433,"","",,698
3052,СЕРЬГА РЕССОРЫ ЗАДНЕЙ,2014-02-15 00:26:12.1847,2015-01-19 15:47:05.300106,,,,23
3053,СТАБИЛИЗАТОР ЗАДНИЙ,2014-02-15 00:26:12.186484,2015-01-19 15:47:05.291742,,,,4653
3054,СТОЙКА СТАБИЛИЗАТОРА ЗАДНЕГО,2014-02-15 00:26:12.188399,2015-01-19 15:47:05.283022,"","",,1750
3055,СТУПИЦА ЗАДНЯЯ И ЕЁ ДЕТАЛИ,2014-02-15 00:26:12.190313,2015-01-19 15:47:05.267164,"","",,14
3056,ТЯГА/ШТАНГА/БАЛКА ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.200216,2014-02-15 00:26:12.200216,,,,
3057,ЧАШКА/ПОДШИПНИК ЗАДНЕЙ АМОРТИЗАТОРНОЙ СТОЙКИ,2014-02-15 00:26:12.202129,2014-02-15 00:26:12.202129,,,,
3058,ШАРОВАЯ ОПОРА ЗАДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.204277,2015-01-19 15:47:05.258131,,,,9
3059,АМОРТИЗАТОР ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.206111,2015-01-19 15:47:05.241982,"","",,252
3060,БОЛТ-ЭКСЦЕНТРИК РЕГУЛИРОВКИ РАЗВАЛА ПЕРЕДНИХ КОЛЁС,2014-02-15 00:26:12.207971,2014-02-15 00:26:12.207971,,,,
3061,БОЛТ/ГАЙКА/ШАЙБА ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.209801,2014-12-07 21:29:07.566052,"","",,
3062,ВТУЛКА СТАБИЛИЗАТОРА ПЕРЕДНЕГО,2014-02-15 00:26:12.211692,2015-01-19 15:47:05.233127,"<p>Стабилизатор поперечной устойчивости предназначен для ужесточения подвески автомобиля, что удерживает его от чрезмерного раскачивания. В этом стабилизатору активно помогают втулки.&nbsp;Втулка переднего стабилизатора устанавливается посередине и состоит из резиновых материалов.</p>
","<p>Стабилизатор поперечной устойчивости предназначен для ужесточения подвески автомобиля, что удерживает его от чрезмерного раскачивания. В этом стабилизатору активно помогают втулки.&nbsp;Втулка переднего стабилизатора устанавливается посередине и состоит из резиновых материалов. Сам стабилизатор изготавливается в виде металлического прута и играет роль пружины. Стабилизатор крепится к кузову автомобиля, при этом имеет П-образную форму. Концы прикрепляются к элементам подвески.&nbsp;Втулка переднего стабилизатора, является сопрягаемой деталью, которая одевается сверху на прут стабилизатора и снаружи прикручивается к жесткому материалу автомобиля. Это может быть кузов или балка подвески. В результате крепление стабилизатора становится жёстким. И благодаря втулкам у него есть возможность плавать.&nbsp;Втулки стабилизатора подвержены износу, как и любая другая деталь. Поэтому очень важно следить за характерным скрипом или стуком. Иначе окончательный износ может послужить причиной аварии.</p>
",,2228
3063,КУЛАК ПОВОРОТНЫЙ ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.213565,2015-01-19 15:47:05.208221,,,,32
3064,ПОДРАМНИК ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.215511,2015-01-19 15:47:05.200101,,,,72
3065,ПОДУШКА ПРУЖИНЫ ПЕРЕДНЕЙ,2014-02-15 00:26:12.217314,2015-01-19 15:47:05.176669,,,,13
3066,ПРУЖИНА/РЕССОРА/ТОРСИОН ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.219158,2014-02-15 00:26:12.219158,,,,
3067,ПЫЛЬНИК И ОТБОЙНИК АМОРТИЗАТОРА,2014-02-15 00:26:12.220958,2015-01-19 15:46:57.12409,"","",,123
3068,РЫЧАГ ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.222854,2015-01-19 15:46:57.107852,"<p>Данная деталь входит в состав подвески автомобиля, обеспечивает крепление колеса непосредственно к раме или кузову, ограничивает движение колеса в вертикальной плоскости, не дает заваливаться относительно направлению движения.</p>
","<p>Данная деталь входит в состав подвески автомобиля, обеспечивает крепление колеса непосредственно к раме или кузову, ограничивает движение колеса в вертикальной плоскости, не дает заваливаться относительно направлению движения.</p>

<p>Существует несколько типов рычагов в зависимости от конструктивных особенностей подвески и точек крепления их крепления, формы и угла относительно движения: поперечные и продольные. Если рычаг установлен в многорычажной подвеске, то скорее всего это А-образный по форме детали, также распространены Н-образные и прямые имеющее 2 точки закрепления.&nbsp;<br />
Современные рычаги в легковых авто изготавливают из легких сплавов, реже применяют стальные, но это присуще бюджетным или грузовым машинам. Рычаг представляет собой продолговатую деталь с продольными ребрами жесткости и приливами на концах, в эти приливы вкручиваются или запрессовываются шарнирные узлы и шаровые опоры обеспечивающие подвижность рычага. Иногда в рычагах простой конструкции приливы не используют, имеются простые отверстия под винтовую пару.&nbsp;<br />
В передней подвеске используются &ndash; верхний и нижний рычаги, верхний удерживает рулевой кулак, что предотвращает заваливание колеса при движении. Нижний рычаг предназначен для контроля подвижности стойки без раскачивания, также он помогает верхнему рычагу ограничить движение колеса только в вертикальном направлении.<br />
Минусом современных рычагов является их малый ресурс, при выходе из строя сайлентблоков, узел заменяют полностью в сборе, что сказывается на цене.</p>
",,5596
3069,САЙЛЕНТБЛОКИ ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.224764,2015-01-19 15:46:57.099507,"","",,553
3070,СЕРЬГА РЕССОРЫ ПЕРЕДНЕЙ,2014-02-15 00:26:12.226801,2015-01-19 15:46:57.091287,,,,15
3071,СТАБИЛИЗАТОР ПЕРЕДНИЙ,2014-02-15 00:26:12.228787,2015-01-19 15:46:57.082555,,,,6572
3072,СТОЙКА СТАБИЛИЗАТОРА ПЕРЕДНЕГО,2014-02-15 00:26:12.230891,2015-01-19 15:46:57.065859,"<p>Передняя стойка стабилизатора выполняет функцию демпфера. Помогает гасить усилия, которые отрицательно воздействуют на переднюю подвеску при движении. А во время прохождения поворотов помогает бороться с кренами автомобиля.</p>
","<p>Передняя стойка стабилизатора выполняет функцию демпфера. Помогает гасить усилия, которые отрицательно воздействуют на переднюю подвеску при движении. А во время прохождения поворотов помогает бороться с кренами автомобиля.&nbsp;<br />
В конструкции передней стойки стабилизатора нет ничего особенного. Здесь не главное сложность, а главное &ndash; эффективность. Передняя стойка стабилизатора представляет собой шток, длина которого колеблется от 5 до 20 сантиметров в зависимости от марки автомобиля. На краях штока под прямым углом приварены шарниры. Они похожи на наконечники рулевых тяг или на шаровые. Для некоторых автомобилей применяются стойки стабилизатора с одним шарниром. Сами шарниры состоят из пальца, на котором нарезана резьба для крепления к элементам подвески при помощи гайки. Защитой шарнира выступает резиновый пыльник, который заполнен изнутри смазкой, выдерживающей высокие температуры.</p>

<p>&nbsp;</p>
",,2661
3073,СТУПИЦА ПЕРЕДНЯЯ И ЕЁ ДЕТАЛИ,2014-02-15 00:26:12.232795,2015-01-19 15:46:57.057921,"","",,29
3074,ТЯГА/ШТАНГА ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.234689,2014-02-15 00:26:12.234689,,,,
3075,ЧАШКА/ПОДШИПНИК ПЕРЕДНЕЙ АМОРТИЗАТОРНОЙ СТОЙКИ,2014-02-15 00:26:12.236819,2014-12-16 08:47:55.680829,"","",,
3076,ШАРОВАЯ ОПОРА ПЕРЕДНЕЙ ПОДВЕСКИ,2014-02-15 00:26:12.238864,2015-01-19 15:46:57.041179,"<p>Шаровая опора это крайне важная часть автомобиля, которая входит в конструкцию передней подвески. Эта деталь состоит из металлического пальца, который имеет шарообразный конец с одной стороны и резьбу с противоположенной. К тому же имеется корпус, заполненный полимером с шарообразным гнездом в нем. Шарообразный конец пальца устанавливается в гнездо, во избежание люфта он устанавливается без зазоров. Но палец имеет большую степень свободы, что позволяет ему, перемещается в разных плоскостях. Во избежание попадание, какой либо грязи или пыли в узел палец-корпус устанавливается резиновый пыльник.<br />
Противоположенным (резьбовым) концом палец устанавливается в специальное отверстие в противоположенной части подвески, т.е. рычаг к которому он укрепляется при помощи гайки. За счет шарообразного крепления обеспечивается взаимная подвижность обоих деталей (как и рычага с прикрепленном к нему пальцем, так и корпуса). Отсюда происходит название &laquo;шаровая опора&raquo;.<br />
Так же существуют шаровые опоры без резьбового соединения.</p>

<p>&nbsp;</p>
","<p>Шаровая опора это крайне важная часть автомобиля, которая входит в конструкцию передней подвески. Эта деталь состоит из металлического пальца, который имеет шарообразный конец с одной стороны и резьбу с противоположенной.&nbsp;</p>

<p>&nbsp;</p>
",,108
3077,БАЧОК НАСОСА ГИДРОУСИЛИТЕЛЯ РУЛЯ,2014-02-15 00:26:12.24078,2015-01-19 15:46:56.950693,,,,10
3078,КРОНШТЕЙН НАСОСА ГИДРОУСИЛИТЕЛЯ РУЛЯ,2014-02-15 00:26:12.24258,2015-01-19 15:46:56.756807,,,,3
3079,КРЫШКА БАЧКА ГИДРОУСИЛИТЕЛЯ РУЛЯ,2014-02-15 00:26:12.244582,2015-01-19 15:46:55.815128,,,,4
3080,НАСОС ГИДРОУСИЛИТЕЛЯ РУЛЯ,2014-02-15 00:26:12.256179,2015-01-19 15:46:55.798541,"<p>Гидроусилитель рулевого управления (ГУР) призван облегчить выполнение маневрирования, обеспечить&nbsp; устойчивость автомобиля на дороге, а также способствует движению автомобиля по заданной траектории, существенно увеличивая чувствительность на малейшие повороты рулевого колеса.</p>
","",,2897
3081,РЕМКОМПЛЕКТ НАСОСА ГИДРОУСИЛИТЕЛЯ РУЛЯ,2014-02-15 00:26:12.259303,2015-01-19 15:46:55.7822,,,,31
3082,ФИЛЬТР Г/У РУЛЯ,2014-02-15 00:26:12.261076,2014-02-15 00:26:12.261076,,,,
3083,ШКИВ НАСОСА ГИДРОУСИЛИТЕЛЯ РУЛЯ,2014-02-15 00:26:12.262882,2015-01-19 15:46:55.773891,,,,34
3084,ВАЛ РУЛЕВОЙ КОЛОНКИ,2014-02-15 00:26:12.26478,2015-01-19 15:46:55.765554,,,,180
3085,ВОДИТЕЛЬСКАЯ ПОДУШКА БЕЗОПАСНОСТИ,2014-02-15 00:26:12.266597,2015-01-19 15:46:55.757268,,,,79
3086,КОНТАКТНАЯ МУФТА РУЛЕВОЙ КОЛОНКИ,2014-02-15 00:26:12.268459,2015-01-19 15:46:55.748893,,,,16
3087,МУЛЬТИ-ПЕРЕКЛЮЧАТЕЛЬ НА РУЛЕВОЙ КОЛОНКЕ,2014-02-15 00:26:12.270286,2014-02-15 00:26:12.270286,,,,
3088,МУФТА РУЛЕВОЙ КОЛОНКИ,2014-02-15 00:26:12.272113,2015-01-19 15:46:55.740671,,,,32
3089,РУЛЕВАЯ КОЛОНКА И ЕЁ ДЕТАЛИ,2014-02-15 00:26:12.273936,2015-01-19 15:46:55.732211,,,,28
3090,РУЛЬ,2014-02-15 00:26:12.275846,2015-01-19 15:46:55.698545,"<p>Руль-(рулевое колесо)-ключевой орган управления автомобиля. Движение рулевого колеса происходит исключительно усилиями водителя и служит для управления поворотом автомобиля.</p>

<p>&nbsp;</p>
","<p>Руль-(рулевое колесо)-ключевой орган управления автомобиля. Движение рулевого колеса происходит исключительно усилиями водителя. Для снижения этой нагрузки руль снабжён усилителем.&nbsp;<br />
Усилители рулевого управления бывают трёх видов:</p>

<ul>
	<li>гидравлический (система трубопроводов высокого и низкого давления с жидкостью);</li>
	<li>электрический (комплекс из электромотора, электронного блока управления, датчика угла поворота руля и датчика крутящего момента );</li>
	<li>пневматический (устанавливается на транспортных средствах большой грузоподъемности).</li>
</ul>

<p>Помимо кнопки звукового сигнала, традиционно расположенной на руле, производители выносят туда же и кнопки управления навигационным оборудованием, мультимедийным центром, блоком климат-контроля и ряда других функций. Такой комплекс называется &laquo;мультируль&raquo;</p>

<p>&nbsp;</p>
",,337611
3091,ВТУЛКА ВНУТРЕННЕЙ РУЛЕВОЙ ТЯГИ,2014-02-15 00:26:12.277648,2015-01-19 15:46:54.823707,,,,1
3092,ДЭМПФЕР РУЛЕВОЙ ТРАПЕЦИИ,2014-02-15 00:26:12.279504,2015-01-19 15:46:54.815426,,,,0
3093,МУФТА РУЛЕВЫХ НАКОНЕЧНИКОВ,2014-02-15 00:26:12.281357,2015-01-19 15:46:54.807599,,,,15
3094,НАКОНЕЧНИК РУЛЕВОЙ,2014-02-15 00:26:12.283166,2015-01-19 15:46:54.782664,,,,10944
3095,РЫЧАГ МАЯТНИКОВЫЙ,2014-02-15 00:26:12.28498,2015-01-19 15:46:54.266365,,,,686
3096,СОШКА РУЛЕВАЯ,2014-02-15 00:26:12.286843,2015-01-19 15:46:53.757599,,,,704
3097,ТЯГА РУЛЕВАЯ,2014-02-15 00:26:12.288728,2015-01-19 15:46:53.748644,"<p>Рулевые тяги это механизм рулевого управления, который соединяет рулевой наконечник и рулевую рейку.</p>
","",,16238
3098,ПОДУШКА КРЕПЛЕНИЯ РУЛЕВОЙ РЕЙКИ,2014-02-15 00:26:12.290507,2015-01-19 15:46:53.724275,,,,1
3099,ПЫЛЬНИК РУЛЕВОЙ РЕЙКИ,2014-02-15 00:26:12.292359,2015-01-19 15:46:53.706095,"","",,831
3100,РЕМКОМПЛЕКТ РУЛЕВОГО РЕДУКТОРА / РЕЙКИ,2014-02-15 00:26:12.294297,2014-02-15 00:26:12.294297,,,,
3101,РУЛЕВАЯ РЕЙКА И ЕЁ ДЕТАЛИ,2014-02-15 00:26:12.29627,2015-01-19 15:46:53.684718,,,,75
3102,РУЛЕВОЙ РЕДУКТОР,2014-02-15 00:26:12.298088,2015-01-19 15:46:52.632156,,,,4323
3103,ДАТЧИК ГУРА,2014-02-15 00:26:12.299861,2015-01-19 15:46:52.623379,,,,619
3104,РАДИАТОР ОХЛАЖДЕНИЯ ГУРА,2014-02-15 00:26:12.301715,2015-01-19 15:46:52.607126,,,,11
3105,РЕМЕНЬ ГИДРОУСИЛИТЕЛЯ,2014-02-15 00:26:12.30366,2015-01-19 15:46:52.598724,"","",,1449
3106,ТРУБКА/ШЛАНГ ГУРА ВЫСОКОГО ДАВЛЕНИЯ,2014-02-15 00:26:12.314244,2014-02-15 00:26:12.314244,,,,
3107,ТРУБКА/ШЛАНГ ГУРА НИЗКОГО ДАВЛЕНИЯ,2014-02-15 00:26:12.31617,2014-02-15 00:26:12.31617,,,,
3108,ДАТЧИК СИСТЕМЫ КОНДИЦИОНИРОВАНИЯ,2014-02-15 00:26:12.318054,2015-01-19 15:46:52.590529,,,,10
3109,КЛАПАН СИСТЕМЫ КОНДИЦИОНИРОВАНИЯ,2014-02-15 00:26:12.319866,2015-01-19 15:46:52.581662,,,,36
3110,КОМПРЕССОР КОНДИЦИОНЕРА И ЕГО ДЕТАЛИ,2014-02-15 00:26:12.321699,2015-01-19 15:46:52.56547,,,,10
3111,ОСУШИТЕЛЬ КОНДИЦИОНЕРА,2014-02-15 00:26:12.323503,2015-01-19 15:46:52.557241,,,,303
3112,ПРОКЛАДКА СИСТЕМЫ КОНДИЦИОНИРОВАНИЯ,2014-02-15 00:26:12.325527,2015-01-19 15:46:52.549161,,,,12
3113,РАДИАТОР КОНДИЦИОНЕРА,2014-02-15 00:26:12.327332,2015-01-19 15:46:51.905332,,,,4820
3114,РАДИАТОР КОНДИЦИОНЕРА САЛОННЫЙ,2014-02-15 00:26:12.3291,2015-01-19 15:46:50.932338,,,,13
3115,РЕМЕНЬ КОНДИЦИОНЕРА,2014-02-15 00:26:12.330958,2015-01-19 15:46:50.923452,"","",,3449
3116,ТРУБКА/ШЛАНГ КОНДИЦИОНЕРА,2014-02-15 00:26:12.332899,2014-02-15 00:26:12.332899,,,,
3117,ШКИВ КОМПРЕССОРА КОНДИЦИОНЕРА,2014-02-15 00:26:12.33475,2015-01-19 15:46:50.907224,,,,511
3118,ДАТЧИК СИСТЕМЫ ОТОПЛЕНИЯ,2014-02-15 00:26:12.336575,2015-01-19 15:46:50.898461,,,,234
3119,ЗАСЛОНКИ ПЕЧКИ,2014-02-15 00:26:12.338397,2015-01-19 15:46:50.882174,,,,5740
3120,МОТОР ВЕНТИЛЛЯТОРА ОТОПИТЕЛЯ САЛОНА,2014-02-15 00:26:12.340231,2015-01-19 15:46:50.874039,,,,0
3121,МОТОР ЗАСЛОНКИ,2014-02-15 00:26:12.342029,2015-01-19 15:46:50.865753,"","",,501
3122,РАДИАТОР ОТОПИТЕЛЯ САЛОНА,2014-02-15 00:26:12.343799,2015-01-19 15:46:50.85734,,,,438
3123,РЕЗИСТОР МОТОРА ВЕНТИЛЯТОРА ОТОПИТЕЛЯ САЛОНА,2014-02-15 00:26:12.345654,2015-01-19 15:46:50.848848,,,,4
3124,ТРУБКА/ШЛАНГ СИСТЕМЫ ОТОПЛЕНИЯ,2014-02-15 00:26:12.347491,2014-02-15 00:26:12.347491,,,,
3125,ВЯЗКОСТНАЯ МУФТА ВЕНТИЛЯТОРА,2014-02-15 00:26:12.349248,2015-01-19 15:46:50.819143,,,,114
3126,КОЖУХ ВЕНТИЛЯТОРА,2014-02-15 00:26:12.351006,2015-01-19 15:46:42.58235,,,,633
3127,КРЫЛЬЧАТКА ВЕНТИЛЯТОРА,2014-02-15 00:26:12.352909,2015-01-19 15:46:42.570869,,,,1402
3128,МОДУЛЬ ЭЛЕКТРОВЕНТИЛЯТОРОВ СИСТЕМЫ ОХЛАЖДЕНИЯ,2014-02-15 00:26:12.354787,2015-01-19 15:46:42.553979,,,,0
3129,МОТОР ВЕНТИЛЯТОРА СИСТЕМЫ ОХЛАЖДЕНИЯ,2014-02-15 00:26:12.356621,2015-01-19 15:46:42.490926,,,,8
3130,ПОМПА ВОДЯНАЯ,2014-02-15 00:26:12.358439,2015-01-19 15:46:42.482194,"","",,4347
3131,ПРОКЛАДКА ВОДЯНОЙ ПОМПЫ,2014-02-15 00:26:12.360847,2015-01-19 15:46:42.473585,,,,31
3132,ШКИВ ВОДЯНОЙ ПОМПЫ,2014-02-15 00:26:12.370434,2015-01-19 15:46:42.457303,,,,6
3133,КРЫШКА РАДИАТОРА,2014-02-15 00:26:12.37385,2015-01-19 15:46:42.449023,,,,1582
3134,ПРОБКА РАДИАТОРА СЛИВНАЯ,2014-02-15 00:26:12.375732,2015-01-19 15:46:42.440186,,,,516
3135,РАДИАТОР ОХЛАЖДЕНИЯ ДВИГАТЕЛЯ И ЕГО ДЕТАЛИ,2014-02-15 00:26:12.377562,2015-01-19 15:46:42.423514,,,,2
3136,БАЧОК РАСШИРИТЕЛЬНЫЙ,2014-02-15 00:26:12.379356,2015-01-19 15:46:41.52879,"<p>Расширительный бачок неотъемлемая часть системы охлаждения. без него невозможно представить не один автомобиль.&nbsp;Основная его функция понятна уже из названия. Принятие излишней жидкости.</p>

<p>&nbsp;</p>
","<p>Расширительный бачок неотъемлемая часть системы охлаждения. без него невозможно представить не один автомобиль.<br />
Основная его функция понятна уже из названия. Принятие излишней жидкости. Как всем известно из школьного курса физики жидкость при нагревании расширяется, вот для того чтобы расширяющаяся жидкость не повредила герметичную систему охлаждения и необходим расширительный бачок в который выталкивается излишек жидкости.<br />
Также через расширительный бачок осуществляется контроль количества жидкости и долив испарившийся жидкости.<br />
Расширительный бачок обычно располагается неподалеку от радиатора, чуть выше оного, и соединяется с ним гибким шлангом, по типу сообщающихся сосудов. Шланг присоединяется к расширителю снизу, а к радиатору в свою очередь к верхней части. Таким образом достигается герметичность системы и поступление недостающей жидкости в радиатор под действием собственного веса.<br />
Выполняется расширительный бачок обычно из пластмассы, в большинстве случаев из прозрачной для облегчения контроля за количеством жидкости. Иногда встречаются варианты с непрозрачными бачками с окошком для контроля. Изредка встречаются бачки из других материалов. Шланги соединяющие бачок с радиатором производят из мягкого пластика.</p>

<p>&nbsp;</p>
",,20407
3137,КРЫШКА БАЧКА СИСТЕМЫ ОХЛАЖДЕНИЯ,2014-02-15 00:26:12.381185,2015-01-19 15:46:41.490143,,,,18
3138,НАТЯЖИТЕЛЬ ПРИВОДНОГО РЕМНЯ,2014-02-15 00:26:12.38308,2015-01-19 15:46:41.473481,,,,746
3139,РЕМЕНЬ ПРИВОДНОЙ,2014-02-15 00:26:12.385029,2015-01-19 15:46:41.440952,"<p>Ремень приводной - необходимый компонент для грузовых и для легковых автомобилей, который способен передавать непосредственный &nbsp;крутящий момент от одной детали машины на другую, потому что возникает сила трения (ремни &nbsp;плоские и клиновидные), либо силы зацепления (ремни &nbsp;зубчатые).&nbsp;</p>
","<p>Ремень приводной - необходимый компонент для грузовых и для легковых автомобилей, который способен передавать непосредственный &nbsp;крутящий момент от одной детали машины на другую, потому что возникает сила трения (ремни &nbsp;плоские и клиновидные), либо силы зацепления (ремни &nbsp;зубчатые). Крепятся на ролики и шкивы. Они могут быть плоскими, клиновидными, зубчатыми. Это завит от ремней, для которых они предназначены. Приводной ремень не закрывается крышкой и крутит (передает силу вращения) навесные агрегаты двигателя: помпу, генератор, насос усилителя руля, насос охлаждающей жидкости кондиционера и др. Таких ремней может быть много. Производят ремни приводные из высококачественных &nbsp;полимеров, с обязательным присутствием резинового компонента. Все ремни достаточно эластичны, обладают упругостью, гибкостью, прочны и растяжимы, но изнашиваются чаще, чем металлические детали автомобиля. У любой разновидности приводных ремней, имеются особенности установки и крепления, а также регулировки натяжения и ослабления их натяжных роликов. Ремни подлежат замене каждые 25-30 тыс. км. пробега, но износ или разрыв может произойти и раньше. Замена конкретного ремня зависит от его вида и марки авто.</p>
",,15334
3140,РОЛИК НАТЯЖИТЕЛЯ ПРИВОДНОГО РЕМНЯ,2014-02-15 00:26:12.387019,2015-01-19 15:46:40.944805,"","",,254
